intent,utterance
greet,Hello there
greet,Hey how’s it going?
greet,Good morning to you
greet,Good evening friend
greet,Hi there buddy
greet,Hey nice to see you
greet,What’s up bro?
greet,Hello my friend
greet,how are you?
greet,Hey there pal
goodbye,Goodbye for now
goodbye,See you again soon
goodbye,Take care buddy
goodbye,Talk to you later
goodbye,Have a good day
goodbye,Bye bye take care
goodbye,Catch you later on
goodbye,Good night friend
goodbye,Farewell
thanks,Thanks a lot
thanks,Thank you buddy
thanks,Much appreciated
thanks,Thanks for your help
thanks,Thanks a million
thanks,Big thanks
thanks,I appreciate that
thanks,Thanks indeed
how_are_you,How are you doing today?
how_are_you,Everything good with you?
how_are_you,How’s your day going?
how_are_you,How have you been lately?
how_are_you,How are things?
how_are_you,You doing okay?
about_bot,What are you here for?
about_bot,Can you explain yourself?
about_bot,Who made you?
about_bot,Are you a robot or human?
about_bot,Why were you created?
about_bot,Do you have a job?
weather,What’s the weather like now?
weather,Is it going to rain today?
weather,Tell me today’s forecast
weather,Is it sunny outside right now?
weather,Do I need a raincoat?
weather,What’s the temperature outside?
time_info,What’s the current time?
time_info,Can you tell me the exact time?
time_info,Do you know the time right now?
time_info,Please share the time with me
time_info,I want to know the time
date_info,What date is it today?
date_info,Can you give me today’s date?
date_info,Which day is today?
date_info,Please tell me the date
joke,Make me laugh please
joke,Do you know any funny joke?
joke,Tell me something hilarious
joke,Share a joke with me
joke,Any good jokes?
small_talk,I am feeling bored
small_talk,Let’s have a chat
small_talk,Tell me something cool
small_talk,What are you doing right now?
small_talk,Talk to me buddy
small_talk,Can you share a fun fact?
food_talk,What’s your favourite dish?
food_talk,Have you had food?
food_talk,Do you like pizza?
food_talk,I am hungry right now
food_talk,Any food suggestions?
feelings,I am feeling happy
feelings,I am feeling sad today
feelings,I am a bit angry
feelings,I feel so excited
feelings,I am feeling lonely
feelings,I am doing fine
study,Can you explain AI?
study,Teach me about Python
study,What’s coding exactly?
study,Can you explain ML?
study,What is recursion in coding?
study,Give me basics of algorithms
study,What is data science about?
study,Tell me about deep learning
study,Help me with loops
unknown,I didn’t get that
unknown,Sorry can you say again?
unknown,I am not sure I follow
unknown,Please repeat that
unknown,Can you rephrase your question?
